text,label
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 2 57 83 maintenant !",spam
"Le mot de passe du wifi est ""chien8752"".",ham
"On se retrouve à 14h au restaurant habituel ?",ham
"Promotion incroyable ! Achetez 2, obtenez 3 GRATUIT aujourd'hui seulement !",spam
"J'ai acheté du pain et du lait. Tu veux que je prenne autre chose au marché ?",ham
"La réservation de l'hôtel est confirmée pour 2 nuits.",ham
"Rappel : rendez-vous chez le médecin vendredi à 14h.",ham
"La livraison est prévue entre 9h et 14h demain.",ham
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"Investissez 73€ et gagnez 1 000€ par mois garanti !",spam
"Peux-tu relire mon document avant de l'envoyer au client ?",ham
"URGENT : Votre compte sera suspendu dans 4h. Vérifiez ici !",spam
"Acheter des followers Instagram ! 7 000 followers pour seulement 16€ !",spam
"Acheter des followers Instagram ! 9 000 followers pour seulement 10€ !",spam
"La réservation de l'hôtel est confirmée pour 4 nuits.",ham
"Le cours de natation reprend la semaine prochaine.",ham
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
"Je serai en vacances du 9 au 20 juillet.",ham
"Est-ce que tu peux apporter le dossier bleu pour la réunion de demain ?",ham
"Peux-tu relire mon document avant de l'envoyer au client ?",ham
"GRATUIT : iPhone 18 pour les 42 premiers inscrits !",spam
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 7 86 35 maintenant !",spam
"⚠️ DERNIER AVERTISSEMENT : Votre adresse IP a été piratée. Protégez-vous maintenant !",spam
"Bonjour, comment vas-tu ? On se voit toujours ce vendredi ?",ham
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"Je t'envoie le document par email d'ici ce soir.",ham
"Pourrais-tu m'envoyer le rapport avant 4 heures s'il te plaît ?",ham
"La livraison est prévue entre 11h et 15h demain.",ham
"Recette de grand-mère pour effacer les rides en 6 jours naturellement !",spam
"Peux-tu relire mon document avant de l'envoyer au client ?",ham
"Prêt rapide sans justificatifs : jusqu'à 41 000€ en 66h !",spam
"Je serai en vacances du 11 au 19 juillet.",ham
"GRATUIT : iPhone 16 pour les 17 premiers inscrits !",spam
"La réunion de demain est décalée à 10h45.",ham
"GRATUIT : iPhone 15 pour les 76 premiers inscrits !",spam
"Méthode secrète pour gagner au casino en ligne à coup sûr ! Résultats garantis !",spam
"Médicament miracle : perdez 10kg en 2 semaines sans régime !",spam
"Prêt rapide sans justificatifs : jusqu'à 11 000€ en 65h !",spam
"Nouveau traitement révolutionnaire contre la chute de cheveux testé par 2877 personnes !",spam
"La livraison est prévue entre 11h et 17h demain.",ham
"Commandez maintenant et recevez 3 articles OFFERTS avec votre commande !",spam
"Est-ce que tu peux venir me chercher à la gare vers 19h ?",ham
"Peux-tu relire mon document avant de l'envoyer au client ?",ham
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 1 000€ maintenant !",spam
"Je serai en vacances du 13 au 15 juillet.",ham
"Est-ce que tu peux venir me chercher à la gare vers 19h ?",ham
"La voiture passe au contrôle technique le 5 du mois prochain.",ham
"Gagnez de l'argent en restant chez vous : 129€/h sans expérience requise !",spam
"Crypto-monnaie : multipliez votre mise par 3 en 1 jours ! Rejoignez-nous !",spam
"La voiture passe au contrôle technique le 16 du mois prochain.",ham
"J'ai besoin de ton avis sur la nouvelle présentation. Tu as 22 minutes ?",ham
"La formation du 4 avril est confirmée.",ham
"Cliquez ici pour débloquer votre cadeau mystère d'une valeur de 319€ !",spam
"Merci d'avoir gardé les enfants ce week-end, ils ont adoré !",ham
"La réunion de demain est décalée à 10h30.",ham
"Je serai en vacances du 12 au 23 juillet.",ham
"Gagnez de l'argent en restant chez vous : 54€/h sans expérience requise !",spam
"⚠️ DERNIER AVERTISSEMENT : Votre adresse IP a été piratée. Protégez-vous maintenant !",spam
"Félicitations ! Vous avez gagné 862 000 euros ! Cliquez maintenant !",spam
"Peux-tu rappeler le plombier ? Il n'a pas donné de nouvelles depuis 6 jours.",ham
"Je serai en vacances du 3 au 18 juillet.",ham
"URGENT : Votre compte sera suspendu dans 2h. Vérifiez ici !",spam
"Le budget du projet a été approuvé. On peut commencer dès lundi.",ham
"Le budget du projet a été approuvé. On peut commencer dès lundi.",ham
"Rappel : rendez-vous chez le médecin vendredi à 15h.",ham
"Rencontrez des célibataires près de chez vous ! Inscription 100% gratuite et discrète !",spam
"Merci d'avoir gardé les enfants ce week-end, ils ont adoré !",ham
"Médicament miracle : perdez 8kg en 2 semaines sans régime !",spam
"J'ai besoin de ton avis sur la nouvelle présentation. Tu as 11 minutes ?",ham
"Gagnez de l'argent en restant chez vous : 163€/h sans expérience requise !",spam
"Cliquez ici pour débloquer votre cadeau mystère d'une valeur de 301€ !",spam
"Je serai en vacances du 6 au 15 juillet.",ham
"Le devis a été envoyé au client. Attente de validation de leur part.",ham
"Merci pour ton aide d'hier, c'était vraiment apprécié !",ham
"Félicitations ! Vous avez gagné 284 000 euros ! Cliquez maintenant !",spam
"Tu as reçu mon message d'hier soir ? Je t'ai envoyé les photos de la fête.",ham
"Recette de grand-mère pour effacer les rides en 3 jours naturellement !",spam
"La voiture passe au contrôle technique le 7 du mois prochain.",ham
"Votre numéro a été tiré au sort ! Livraison gratuite de votre colis premium !",spam
"Le film commence à 21h00, on se retrouve devant le cinéma ?",ham
"Félicitations ! Vous avez gagné 572 000 euros ! Cliquez maintenant !",spam
"Le budget du projet a été approuvé. On peut commencer dès lundi.",ham
"Merci d'avoir gardé les enfants ce week-end, ils ont adoré !",ham
"Je t'envoie le document par email d'ici ce soir.",ham
"Est-ce que tu peux apporter le dossier bleu pour la réunion de demain ?",ham
"Crypto-monnaie : multipliez votre mise par 10 en 6 jours ! Rejoignez-nous !",spam
"La réunion de demain est décalée à 12h00.",ham
"Acheter des followers Instagram ! 8 000 followers pour seulement 18€ !",spam
"Votre numéro a été tiré au sort ! Livraison gratuite de votre colis premium !",spam
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
"Rappel : rendez-vous chez le médecin lundi à 11h.",ham
"J'ai réservé une table pour 5 personnes samedi soir.",ham
"J'ai acheté du pain et du lait. Tu veux que je prenne autre chose au marché ?",ham
"Pourrais-tu m'envoyer le rapport avant 2 heures s'il te plaît ?",ham
"Peux-tu rappeler le plombier ? Il n'a pas donné de nouvelles depuis 3 jours.",ham
"Médicament miracle : perdez 14kg en 2 semaines sans régime !",spam
"Pourrais-tu m'envoyer le rapport avant 4 heures s'il te plaît ?",ham
"Je serai en vacances du 4 au 23 juillet.",ham
"Rencontrez des célibataires près de chez vous ! Inscription 100% gratuite et discrète !",spam
"Est-ce que tu peux venir me chercher à la gare vers 17h ?",ham
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 4 000€ maintenant !",spam
"Offre exclusive réservée pour vous ! -77% sur tout !",spam
"Le mot de passe du wifi est ""famille6577"".",ham
"Commandez maintenant et recevez 1 articles OFFERTS avec votre commande !",spam
"Bonne anniversaire ! J'espère que tu passes une excellente journée !",ham
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"Gagnez de l'argent en restant chez vous : 226€/h sans expérience requise !",spam
"Promotion incroyable ! Achetez 1, obtenez 3 GRATUIT aujourd'hui seulement !",spam
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 1 000€ maintenant !",spam
"J'ai besoin de ton avis sur la nouvelle présentation. Tu as 19 minutes ?",ham
"URGENT : Votre compte sera suspendu dans 15h. Vérifiez ici !",spam
"La formation du 8 mars est confirmée.",ham
"La livraison est prévue entre 12h et 15h demain.",ham
"Rappel : rendez-vous chez le médecin mercredi à 11h.",ham
"Rejoignez 664 000 membres qui gagnent déjà de l'argent en ligne chaque jour !",spam
"Merci pour ton aide d'hier, c'était vraiment apprécié !",ham
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"On se retrouve à 12h au restaurant habituel ?",ham
"Offre exclusive réservée pour vous ! -66% sur tout !",spam
"Gagnez de l'argent en restant chez vous : 132€/h sans expérience requise !",spam
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"J'ai réservé une table pour 7 personnes samedi soir.",ham
"Bonne anniversaire ! J'espère que tu passes une excellente journée !",ham
"Peux-tu relire mon document avant de l'envoyer au client ?",ham
"Prêt rapide sans justificatifs : jusqu'à 39 000€ en 31h !",spam
"URGENT : Votre compte sera suspendu dans 17h. Vérifiez ici !",spam
"On se retrouve à 13h au restaurant habituel ?",ham
"Agrandissez votre revenu de 200% en travaillant depuis chez vous !",spam
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
"N'oublie pas d'amener ta carte d'identité pour l'inscription de demain.",ham
"Est-ce que tu peux apporter le dossier bleu pour la réunion de demain ?",ham
"Merci d'avoir gardé les enfants ce week-end, ils ont adoré !",ham
"Nouveau traitement révolutionnaire contre la chute de cheveux testé par 2370 personnes !",spam
"Le film commence à 19h15, on se retrouve devant le cinéma ?",ham
"Méthode secrète pour gagner au casino en ligne à coup sûr ! Résultats garantis !",spam
"J'ai réservé une table pour 7 personnes samedi soir.",ham
"La livraison est prévue entre 9h et 17h demain.",ham
"Le cours de piano reprend la semaine prochaine.",ham
"Félicitations ! Vous avez gagné 761 000 euros ! Cliquez maintenant !",spam
"Félicitations ! Vous avez gagné 425 000 euros ! Cliquez maintenant !",spam
"Gagnez de l'argent en restant chez vous : 235€/h sans expérience requise !",spam
"J'ai acheté du pain et du lait. Tu veux que je prenne autre chose au marché ?",ham
"J'ai acheté du pain et du lait. Tu veux que je prenne autre chose au marché ?",ham
"Le film commence à 20h00, on se retrouve devant le cinéma ?",ham
"URGENT : Votre compte sera suspendu dans 8h. Vérifiez ici !",spam
"La réunion de demain est décalée à 10h00.",ham
"Offre exclusive réservée pour vous ! -50% sur tout !",spam
"Le devis a été envoyé au client. Attente de validation de leur part.",ham
"On se retrouve à 13h au restaurant habituel ?",ham
"Le projet avance bien. On peut en discuter lors de notre prochain appel ?",ham
"Pourrais-tu m'envoyer le rapport avant 5 heures s'il te plaît ?",ham
"Investissez 88€ et gagnez 9 000€ par mois garanti !",spam
"Votre abonnement Netflix expire dans 24h. Mettez à jour votre paiement ici !",spam
"Recette de grand-mère pour effacer les rides en 7 jours naturellement !",spam
"Pourrais-tu m'envoyer le rapport avant 2 heures s'il te plaît ?",ham
"Offre exclusive réservée pour vous ! -74% sur tout !",spam
"Médicament miracle : perdez 19kg en 2 semaines sans régime !",spam
"Bonne anniversaire ! J'espère que tu passes une excellente journée !",ham
"Investissez 108€ et gagnez 1 000€ par mois garanti !",spam
"Rencontrez des célibataires près de chez vous ! Inscription 100% gratuite et discrète !",spam
"VENTE FLASH : 42% de réduction sur les montres de luxe ! Offre limitée !",spam
"Bonjour, comment vas-tu ? On se voit toujours ce mardi ?",ham
"Investissez 67€ et gagnez 3 000€ par mois garanti !",spam
"Agrandissez votre revenu de 256% en travaillant depuis chez vous !",spam
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 8 43 14 maintenant !",spam
"Le projet avance bien. On peut en discuter lors de notre prochain appel ?",ham
"Le budget du projet a été approuvé. On peut commencer dès lundi.",ham
"Le bébé a bien dormi cette nuit, enfin ! Tout le monde est reposé.",ham
"Prêt rapide sans justificatifs : jusqu'à 43 000€ en 49h !",spam
"Félicitations ! Vous avez gagné 998 000 euros ! Cliquez maintenant !",spam
"Est-ce que tu peux venir me chercher à la gare vers 19h ?",ham
"Rejoignez 858 000 membres qui gagnent déjà de l'argent en ligne chaque jour !",spam
"Médicament miracle : perdez 19kg en 2 semaines sans régime !",spam
"VIP exclusif : Accès illimité aux films, séries et sport pour seulement 5€/mois !",spam
"Acheter des followers Instagram ! 1 000 followers pour seulement 6€ !",spam
"⚠️ DERNIER AVERTISSEMENT : Votre adresse IP a été piratée. Protégez-vous maintenant !",spam
"Bonne anniversaire ! J'espère que tu passes une excellente journée !",ham
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"GRATUIT : iPhone 18 pour les 98 premiers inscrits !",spam
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"Je t'envoie le document par email d'ici ce soir.",ham
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 4 000€ maintenant !",spam
"Le bébé a bien dormi cette nuit, enfin ! Tout le monde est reposé.",ham
"VIP exclusif : Accès illimité aux films, séries et sport pour seulement 4€/mois !",spam
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"Le projet avance bien. On peut en discuter lors de notre prochain appel ?",ham
"Offre exclusive réservée pour vous ! -68% sur tout !",spam
"Est-ce que tu peux venir me chercher à la gare vers 16h ?",ham
"J'ai acheté du pain et du lait. Tu veux que je prenne autre chose au marché ?",ham
"Cliquez ici pour débloquer votre cadeau mystère d'une valeur de 272€ !",spam
"J'ai réservé une table pour 4 personnes samedi soir.",ham
"Le mot de passe du wifi est ""chat9363"".",ham
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
"Tu as reçu mon message d'hier soir ? Je t'ai envoyé les photos de la fête.",ham
"Votre numéro a été tiré au sort ! Livraison gratuite de votre colis premium !",spam
"Merci pour ton aide d'hier, c'était vraiment apprécié !",ham
"La livraison est prévue entre 11h et 17h demain.",ham
"Pourrais-tu m'envoyer le rapport avant 2 heures s'il te plaît ?",ham
"Peux-tu relire mon document avant de l'envoyer au client ?",ham
"Prêt rapide sans justificatifs : jusqu'à 46 000€ en 48h !",spam
"Rappel : rendez-vous chez le médecin mercredi à 11h.",ham
"VIP exclusif : Accès illimité aux films, séries et sport pour seulement 6€/mois !",spam
"Le devis a été envoyé au client. Attente de validation de leur part.",ham
"Peux-tu rappeler le plombier ? Il n'a pas donné de nouvelles depuis 5 jours.",ham
"N'oublie pas d'amener ta carte d'identité pour l'inscription de demain.",ham
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"Acheter des followers Instagram ! 1 000 followers pour seulement 5€ !",spam
"Nouveau traitement révolutionnaire contre la chute de cheveux testé par 6206 personnes !",spam
"Commandez maintenant et recevez 1 articles OFFERTS avec votre commande !",spam
"Rejoignez 981 000 membres qui gagnent déjà de l'argent en ligne chaque jour !",spam
"Rappel : rendez-vous chez le médecin mardi à 11h.",ham
"Vous avez été sélectionné parmi des millions ! Votre récompense vous attend !",spam
"J'ai réservé une table pour 6 personnes samedi soir.",ham
"Investissez 120€ et gagnez 7 000€ par mois garanti !",spam
"Commandez maintenant et recevez 3 articles OFFERTS avec votre commande !",spam
"La réunion de demain est décalée à 12h30.",ham
"Le devis a été envoyé au client. Attente de validation de leur part.",ham
"La réservation de l'hôtel est confirmée pour 2 nuits.",ham
"Méthode secrète pour gagner au casino en ligne à coup sûr ! Résultats garantis !",spam
"Acheter des followers Instagram ! 2 000 followers pour seulement 8€ !",spam
"Est-ce que tu peux apporter le dossier bleu pour la réunion de demain ?",ham
"Commandez maintenant et recevez 3 articles OFFERTS avec votre commande !",spam
"Je t'envoie le document par email d'ici ce soir.",ham
"N'oublie pas d'amener ta carte d'identité pour l'inscription de demain.",ham
"La formation du 21 mars est confirmée.",ham
"Nouveau traitement révolutionnaire contre la chute de cheveux testé par 2918 personnes !",spam
"URGENT : Votre compte sera suspendu dans 6h. Vérifiez ici !",spam
"Tu as reçu mon message d'hier soir ? Je t'ai envoyé les photos de la fête.",ham
"La réservation de l'hôtel est confirmée pour 4 nuits.",ham
"Le cours de yoga reprend la semaine prochaine.",ham
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"Vous avez été sélectionné parmi des millions ! Votre récompense vous attend !",spam
"Le mot de passe du wifi est ""maison9714"".",ham
"Tu as reçu mon message d'hier soir ? Je t'ai envoyé les photos de la fête.",ham
"La réservation de l'hôtel est confirmée pour 4 nuits.",ham
"Est-ce que tu peux apporter le dossier bleu pour la réunion de demain ?",ham
"J'ai acheté du pain et du lait. Tu veux que je prenne autre chose au marché ?",ham
"Le mot de passe du wifi est ""famille6423"".",ham
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
"VENTE FLASH : 74% de réduction sur les montres de luxe ! Offre limitée !",spam
"Rejoignez 389 000 membres qui gagnent déjà de l'argent en ligne chaque jour !",spam
"Le film commence à 22h30, on se retrouve devant le cinéma ?",ham
"Promotion incroyable ! Achetez 2, obtenez 3 GRATUIT aujourd'hui seulement !",spam
"Vous avez été sélectionné parmi des millions ! Votre récompense vous attend !",spam
"Le devis a été envoyé au client. Attente de validation de leur part.",ham
"Acheter des followers Instagram ! 2 000 followers pour seulement 5€ !",spam
"Crypto-monnaie : multipliez votre mise par 6 en 6 jours ! Rejoignez-nous !",spam
"Bonjour, comment vas-tu ? On se voit toujours ce mardi ?",ham
"Cliquez ici pour débloquer votre cadeau mystère d'une valeur de 285€ !",spam
"Crypto-monnaie : multipliez votre mise par 8 en 1 jours ! Rejoignez-nous !",spam
"Rencontrez des célibataires près de chez vous ! Inscription 100% gratuite et discrète !",spam
"N'oublie pas d'amener ta carte d'identité pour l'inscription de demain.",ham
"Votre facture est impayée ! Évitez les pénalités en cliquant ici immédiatement !",spam
"Rejoignez 590 000 membres qui gagnent déjà de l'argent en ligne chaque jour !",spam
"Médicament miracle : perdez 23kg en 2 semaines sans régime !",spam
"Votre abonnement Netflix expire dans 24h. Mettez à jour votre paiement ici !",spam
"Agrandissez votre revenu de 288% en travaillant depuis chez vous !",spam
"Investissez 136€ et gagnez 8 000€ par mois garanti !",spam
"Tu as reçu mon message d'hier soir ? Je t'ai envoyé les photos de la fête.",ham
"Offre exclusive réservée pour vous ! -59% sur tout !",spam
"On se retrouve à 13h au restaurant habituel ?",ham
"Agrandissez votre revenu de 190% en travaillant depuis chez vous !",spam
"Merci pour ton aide d'hier, c'était vraiment apprécié !",ham
"⚠️ DERNIER AVERTISSEMENT : Votre adresse IP a été piratée. Protégez-vous maintenant !",spam
"Promotion incroyable ! Achetez 2, obtenez 3 GRATUIT aujourd'hui seulement !",spam
"Votre numéro a été tiré au sort ! Livraison gratuite de votre colis premium !",spam
"ALERTE : Virus détecté sur votre appareil ! Appelez le +33 5 87 88 maintenant !",spam
"Merci d'avoir gardé les enfants ce week-end, ils ont adoré !",ham
"Rejoignez 435 000 membres qui gagnent déjà de l'argent en ligne chaque jour !",spam
"Rencontrez des célibataires près de chez vous ! Inscription 100% gratuite et discrète !",spam
"Peux-tu rappeler le plombier ? Il n'a pas donné de nouvelles depuis 3 jours.",ham
"Peux-tu rappeler le plombier ? Il n'a pas donné de nouvelles depuis 2 jours.",ham
"Agrandissez votre revenu de 136% en travaillant depuis chez vous !",spam
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"Nouveau traitement révolutionnaire contre la chute de cheveux testé par 7604 personnes !",spam
"GRATUIT : iPhone 19 pour les 64 premiers inscrits !",spam
"J'ai besoin de ton avis sur la nouvelle présentation. Tu as 26 minutes ?",ham
"Pourrais-tu m'envoyer le rapport avant 3 heures s'il te plaît ?",ham
"La réunion de demain est décalée à 12h45.",ham
"Vous avez été sélectionné parmi des millions ! Votre récompense vous attend !",spam
"Votre numéro a été tiré au sort ! Livraison gratuite de votre colis premium !",spam
"La livraison est prévue entre 12h et 16h demain.",ham
"Votre abonnement Netflix expire dans 24h. Mettez à jour votre paiement ici !",spam
"Votre numéro a été tiré au sort ! Livraison gratuite de votre colis premium !",spam
"Votre compte bancaire a été compromis. Confirmez vos informations immédiatement !",spam
"VIP exclusif : Accès illimité aux films, séries et sport pour seulement 6€/mois !",spam
"Le devis a été envoyé au client. Attente de validation de leur part.",ham
"Le projet avance bien. On peut en discuter lors de notre prochain appel ?",ham
"Est-ce que tu peux venir me chercher à la gare vers 18h ?",ham
"Rejoignez 705 000 membres qui gagnent déjà de l'argent en ligne chaque jour !",spam
"Merci pour ton aide d'hier, c'était vraiment apprécié !",ham
"Merci d'avoir gardé les enfants ce week-end, ils ont adoré !",ham
"Je serai en vacances du 6 au 21 juillet.",ham
"Bonjour, comment vas-tu ? On se voit toujours ce mardi ?",ham
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"La réunion de demain est décalée à 12h00.",ham
"On se retrouve à 14h au restaurant habituel ?",ham
"GRATUIT : iPhone 17 pour les 84 premiers inscrits !",spam
"Promotion incroyable ! Achetez 1, obtenez 2 GRATUIT aujourd'hui seulement !",spam
"Le bébé a bien dormi cette nuit, enfin ! Tout le monde est reposé.",ham
"Félicitations ! Vous avez gagné 984 000 euros ! Cliquez maintenant !",spam
"Pourrais-tu m'envoyer le rapport avant 5 heures s'il te plaît ?",ham
"Est-ce que tu peux apporter le dossier bleu pour la réunion de demain ?",ham
"Recette de grand-mère pour effacer les rides en 1 jours naturellement !",spam
"J'ai besoin de ton avis sur la nouvelle présentation. Tu as 23 minutes ?",ham
"Crypto-monnaie : multipliez votre mise par 3 en 3 jours ! Rejoignez-nous !",spam
"Vous êtes le gagnant sélectionné ! Réclamez votre prix de 4 000€ maintenant !",spam
"Rejoignez notre réseau MLM et gagnez en recrutant vos amis ! Commissions illimitées !",spam
"Félicitations ! Vous avez gagné 191 000 euros ! Cliquez maintenant !",spam
"Le film commence à 20h15, on se retrouve devant le cinéma ?",ham
"Vous avez été sélectionné parmi des millions ! Votre récompense vous attend !",spam
"Bonne anniversaire ! J'espère que tu passes une excellente journée !",ham
"Le bébé a bien dormi cette nuit, enfin ! Tout le monde est reposé.",ham
"Merci pour ton aide d'hier, c'était vraiment apprécié !",ham
"Est-ce que tu peux venir me chercher à la gare vers 19h ?",ham
"Merci pour ton aide d'hier, c'était vraiment apprécié !",ham
"Commandez maintenant et recevez 3 articles OFFERTS avec votre commande !",spam
